contrast,program,genotype,condition_a,condition_b,n_a,n_b,mean_a,mean_b,effect_a_minus_b
rapamycin_within_genotype,normal_lung_interstitial,TSC2-null,Rap,siCtrl,1,1,8.02557630264194,12.62354094750916,-4.5979646448672185
rapamycin_within_genotype,normal_lung_interstitial,TSC2-reexpressed,Rap,siCtrl,1,1,7.089077019437728,7.2992992348099826,-0.21022221537225416
rapamycin_within_genotype,protease_ECM_niche,TSC2-null,Rap,siCtrl,1,1,96.55566816278885,38.111961545162195,58.44370661762665
rapamycin_within_genotype,protease_ECM_niche,TSC2-reexpressed,Rap,siCtrl,1,1,50.56740723630413,37.96913942779311,12.598267808511018
STAT3_perturbation_within_genotype,CORE1,TSC2-null,siSTAT3,siCtrl,1,1,3.2855172236100554,3.425545911972393,-0.14002868836233784
STAT3_perturbation_within_genotype,CORE1,TSC2-reexpressed,siSTAT3,siCtrl,1,1,7.8026684264303565,9.235543911507005,-1.4328754850766483
STAT3_perturbation_within_genotype,CORE2,TSC2-null,siSTAT3,siCtrl,1,1,2.1204534527008394,2.0210501569015755,0.09940329579926388
STAT3_perturbation_within_genotype,CORE2,TSC2-reexpressed,siSTAT3,siCtrl,1,1,13.41210230988359,13.179251936966311,0.2328503729172784
STAT3_perturbation_within_genotype,CORE3_identity,TSC2-null,siSTAT3,siCtrl,1,1,1.0396842897742717,1.0678226758937943,-0.028138386119522574
STAT3_perturbation_within_genotype,CORE3_identity,TSC2-reexpressed,siSTAT3,siCtrl,1,1,4.372448375644038,4.424916234272332,-0.05246785862829384
STAT3_perturbation_within_genotype,ECM_remodeling,TSC2-null,siSTAT3,siCtrl,1,1,42.3781151442147,46.435323473032646,-4.057208328817943
STAT3_perturbation_within_genotype,ECM_remodeling,TSC2-reexpressed,siSTAT3,siCtrl,1,1,27.018589445498947,29.421783990552036,-2.40319454505309
STAT3_perturbation_within_genotype,HOX_PBX,TSC2-null,siSTAT3,siCtrl,1,1,5.822387727644088,5.743571595763456,0.07881613188063241
STAT3_perturbation_within_genotype,HOX_PBX,TSC2-reexpressed,siSTAT3,siCtrl,1,1,4.6795846751235874,4.709112770636512,-0.02952809551292468
STAT3_perturbation_within_genotype,IL6_AT2_repair,TSC2-null,siSTAT3,siCtrl,1,1,3.3934565026388888,3.5988373726944447,-0.20538087005555594
STAT3_perturbation_within_genotype,IL6_AT2_repair,TSC2-reexpressed,siSTAT3,siCtrl,1,1,2.171876469831349,2.5489179437896827,-0.37704147395833365
STAT3_perturbation_within_genotype,IS_inflammatory,TSC2-null,siSTAT3,siCtrl,1,1,4.051809529464007,3.857645791509114,0.19416373795489328
STAT3_perturbation_within_genotype,IS_inflammatory,TSC2-reexpressed,siSTAT3,siCtrl,1,1,10.920653871035352,10.658798663883477,0.26185520715187494
STAT3_perturbation_within_genotype,LAF_niche,TSC2-null,siSTAT3,siCtrl,1,1,6.534071879250915,6.604596923892112,-0.07052504464119735
STAT3_perturbation_within_genotype,LAF_niche,TSC2-reexpressed,siSTAT3,siCtrl,1,1,3.7562017727948716,4.285555888967033,-0.5293541161721613
STAT3_perturbation_within_genotype,LAM_myogenic_contractile,TSC2-null,siSTAT3,siCtrl,1,1,7.538730300276722,8.069831484993225,-0.531101184716503
STAT3_perturbation_within_genotype,LAM_myogenic_contractile,TSC2-reexpressed,siSTAT3,siCtrl,1,1,25.56262586288869,31.836390007388744,-6.273764144500053
STAT3_perturbation_within_genotype,MDK_dormancy_persistence,TSC2-null,siSTAT3,siCtrl,1,1,8.059350995850323,8.400880643806584,-0.3415296479562606
STAT3_perturbation_within_genotype,MDK_dormancy_persistence,TSC2-reexpressed,siSTAT3,siCtrl,1,1,11.300186450659895,12.41065013967894,-1.1104636890190456
STAT3_perturbation_within_genotype,SLS_stem_like,TSC2-null,siSTAT3,siCtrl,1,1,1.7771645091343473,1.8448525740603912,-0.06768806492604384
STAT3_perturbation_within_genotype,SLS_stem_like,TSC2-reexpressed,siSTAT3,siCtrl,1,1,3.391465288975863,3.381865760126457,0.00959952884940618
STAT3_perturbation_within_genotype,TGFbeta_fibroblast,TSC2-null,siSTAT3,siCtrl,1,1,8.666323208433049,9.397714323247861,-0.7313911148148122
STAT3_perturbation_within_genotype,TGFbeta_fibroblast,TSC2-reexpressed,siSTAT3,siCtrl,1,1,24.873167522649574,29.444623014387464,-4.57145549173789
STAT3_perturbation_within_genotype,biomarker_VEGFD_PMEL_CCL14_MMP8,TSC2-null,siSTAT3,siCtrl,1,1,0.035715723157894744,0.04776618823333333,-0.01205046507543859
STAT3_perturbation_within_genotype,biomarker_VEGFD_PMEL_CCL14_MMP8,TSC2-reexpressed,siSTAT3,siCtrl,1,1,0.040481649122807016,0.027300340350877195,0.013181308771929821
