gene,environments,mean_suppression_fraction,categories,cross_environment_retention_candidate
AC010655.4,2,0.7954573822466644,fully_retained;suppressed,True
AC010776.2,1,0.32280704388099213,partially_retained,False
AC010883.3,1,0.8550229345894699,suppressed,False
AC011346.1,2,0.42797278504937714,fully_retained;partially_retained,True
AC011462.1,2,0.7728443807886815,fully_retained;suppressed,True
AC011468.4,1,0.7539850685784495,suppressed,False
AC011586.2,2,0.8800800518759486,suppressed,False
AC011939.1,1,0.40675154107973344,partially_retained,False
AC012063.1,1,0.704734845005256,partially_retained,False
AC012184.2,1,0.6235190824272749,partially_retained,False
AC012360.2,1,1.199703397794434,suppressed,False
AC012409.5,1,0.11935510085033718,fully_retained,False
AC013268.1,1,0.29621017257834503,partially_retained,False
AC013271.1,1,0.8440665106229833,suppressed,False
AC013394.1,1,1.0577949767932042,suppressed,False
AC013643.2,1,1.711171173475682,suppressed,False
AC015712.2,2,0.8989132853670302,suppressed,False
AC015813.2,1,0.7058197480944057,partially_retained,False
AC015818.2,1,0.7473250250204069,partially_retained,False
AC015871.3,1,0.5967253606984183,partially_retained,False
AC015912.3,1,1.0228098953190892,suppressed,False
AC016582.2,2,1.049125334509656,suppressed,False
AC016705.2,1,0.2005114090425052,fully_retained,False
AC016876.1,1,-0.11799162587804424,enhanced_or_reprogrammed,False
AC017116.2,1,0.8069439533016548,suppressed,False
AC018398.1,1,0.26316913894353433,partially_retained,False
AC018413.1,1,0.8330558583182672,suppressed,False
AC018647.1,2,0.4627006249138924,partially_retained,True
AC018865.2,2,0.15881171415219342,fully_retained;partially_retained,True
AC019205.1,1,1.097306876310028,suppressed,False
AC020765.2,1,1.2432313161824342,suppressed,False
AC021016.1,1,0.6180376994908416,partially_retained,False
AC021078.1,1,0.6609242699185804,partially_retained,False
AC021086.1,2,0.8938358297244248,partially_retained;suppressed,True
AC021321.1,1,0.1799618099768322,fully_retained,False
AC022034.1,1,0.8459789937592828,suppressed,False
AC022107.1,2,0.7325622301884382,partially_retained;suppressed,True
AC022400.5,1,1.042361598693558,suppressed,False
AC022400.6,1,0.5648545765501736,partially_retained,False
AC022413.2,1,1.3764068920508867,suppressed,False
AC022467.1,1,0.8658577424338056,suppressed,False
AC022467.2,2,0.6402816291592994,partially_retained;suppressed,True
AC022506.2,1,0.7379502208050681,partially_retained,False
AC023494.1,1,1.2000557515283985,suppressed,False
AC023509.1,1,0.6984675285333874,partially_retained,False
AC024267.6,2,0.6779211123051707,fully_retained;suppressed,True
AC024940.1,1,0.36363184322210196,partially_retained,False
AC025279.1,1,0.7685126263009147,suppressed,False
AC025423.2,1,0.28336280155786486,partially_retained,False
AC025774.1,1,0.6026633837298887,partially_retained,False
AC025809.2,2,0.5799878485886707,partially_retained;suppressed,True
AC026355.2,1,1.3247463130890729,suppressed,False
AC026412.1,1,0.2676336439285202,partially_retained,False
AC027237.3,2,1.5052916104406346,suppressed,False
AC027601.5,2,0.7159595995077311,partially_retained;suppressed,True
AC034193.1,1,1.2449294485781568,suppressed,False
AC040162.3,1,1.2300933499134528,suppressed,False
AC040970.1,1,0.45460047358610267,partially_retained,False
AC044849.1,2,1.1320014625347803,partially_retained;suppressed,True
AC046134.2,1,0.32370772370180934,partially_retained,False
AC046185.3,1,-0.11106238714698136,enhanced_or_reprogrammed,False
AC051619.4,2,-0.03541622128982996,enhanced_or_reprogrammed;fully_retained,True
AC060780.1,1,0.32289750260466454,partially_retained,False
AC063952.1,1,1.24474749598743,suppressed,False
AC064836.3,1,1.1249978922854749,suppressed,False
AC068193.1,1,1.1661234391602078,suppressed,False
AC068205.2,1,1.0922264064298064,suppressed,False
AC068234.1,1,0.4954923979125193,partially_retained,False
AC068448.1,2,0.9139606587380987,partially_retained;suppressed,True
AC068533.4,1,0.02573554517796406,fully_retained,False
AC068580.4,2,0.6031025906354106,partially_retained;suppressed,True
AC068620.3,1,0.8914494542339976,suppressed,False
AC068700.2,1,1.254642575734753,suppressed,False
AC068790.9,1,0.8092771862500983,suppressed,False
AC068831.3,1,0.6104183745600527,partially_retained,False
AC068831.6,1,1.3853244829695008,suppressed,False
AC068888.1,1,0.6024690956843546,partially_retained,False
AC069224.1,1,1.2864027854062305,suppressed,False
AC069257.1,1,1.0872815480123512,suppressed,False
AC069281.2,1,0.9858387207064957,suppressed,False
AC073114.1,1,0.43118419013343967,partially_retained,False
AC073130.3,1,1.8368062918976276,suppressed,False
AC073264.3,1,1.3701010807053335,suppressed,False
AC073359.1,1,0.6414782466431547,partially_retained,False
AC073389.1,1,1.3630633350444694,suppressed,False
AC073508.2,1,0.9471241766804442,suppressed,False
AC073610.1,1,1.0425246115358149,suppressed,False
AC073612.1,1,2.191324655119984,suppressed,False
AC073651.1,1,0.31811414130577476,partially_retained,False
AC074091.2,1,0.8915306117728983,suppressed,False
AC074212.1,1,0.6215883555185882,partially_retained,False
AC078785.1,1,0.5586589151540458,partially_retained,False
AC078820.1,1,0.11414680093033058,fully_retained,False
AC078883.1,2,0.29304165663424503,fully_retained;partially_retained,True
AC078909.1,1,0.9873457590107143,suppressed,False
