contrast,program,genotype,environment,condition_a,condition_b,n_a,n_b,mean_a,mean_b,effect_a_minus_b,treatment
hydrogel_minus_plastic,ECM_remodeling,WT,,,,2,2,14.761045523086516,14.533465396549966,0.2275801265365498,rapamycin
hydrogel_minus_plastic,ECM_remodeling,WT,,,,2,2,14.606337940330334,14.566201577704184,0.040136362626149946,vehicle
TSC2ko_minus_WT,HOX_PBX,,hydrogel,,,2,2,9.706855356372087,8.710902443174854,0.9959529131972324,rapamycin
TSC2ko_minus_WT,HOX_PBX,,hydrogel,,,2,2,9.44327074443587,8.601542602537332,0.8417281418985372,vehicle
TSC2ko_minus_WT,HOX_PBX,,plastic,,,2,2,9.557365892794497,8.5345034932436,1.0228623995508972,rapamycin
TSC2ko_minus_WT,HOX_PBX,,plastic,,,2,2,9.293502501494167,8.550311939841881,0.7431905616522858,vehicle
hydrogel_minus_plastic,HOX_PBX,TSC2ko,,,,2,2,9.706855356372087,9.557365892794497,0.14948946357758963,rapamycin
hydrogel_minus_plastic,HOX_PBX,TSC2ko,,,,2,2,9.44327074443587,9.293502501494167,0.1497682429417022,vehicle
hydrogel_minus_plastic,HOX_PBX,WT,,,,2,2,8.710902443174854,8.5345034932436,0.17639894993125438,rapamycin
hydrogel_minus_plastic,HOX_PBX,WT,,,,2,2,8.601542602537332,8.550311939841881,0.051230662695450846,vehicle
TSC2ko_minus_WT,IL6_AT2_repair,,hydrogel,,,2,2,7.414246627609355,7.002883668165492,0.4113629594438635,rapamycin
TSC2ko_minus_WT,IL6_AT2_repair,,hydrogel,,,2,2,7.904934455195161,7.124252389240958,0.7806820659542026,vehicle
TSC2ko_minus_WT,IL6_AT2_repair,,plastic,,,2,2,7.520049949512637,7.2935475849643066,0.22650236454833017,rapamycin
TSC2ko_minus_WT,IL6_AT2_repair,,plastic,,,2,2,7.844737135370023,7.418309364219779,0.42642777115024444,vehicle
hydrogel_minus_plastic,IL6_AT2_repair,TSC2ko,,,,2,2,7.414246627609355,7.520049949512637,-0.10580332190328168,rapamycin
hydrogel_minus_plastic,IL6_AT2_repair,TSC2ko,,,,2,2,7.904934455195161,7.844737135370023,0.06019731982513754,vehicle
hydrogel_minus_plastic,IL6_AT2_repair,WT,,,,2,2,7.002883668165492,7.2935475849643066,-0.290663916798815,rapamycin
hydrogel_minus_plastic,IL6_AT2_repair,WT,,,,2,2,7.124252389240958,7.418309364219779,-0.29405697497882066,vehicle
TSC2ko_minus_WT,IS_inflammatory,,hydrogel,,,2,2,9.814016181100882,9.163753240761299,0.6502629403395837,rapamycin
TSC2ko_minus_WT,IS_inflammatory,,hydrogel,,,2,2,8.93230817767846,9.055430315020642,-0.12312213734218247,vehicle
TSC2ko_minus_WT,IS_inflammatory,,plastic,,,2,2,8.935073327281284,8.649944571258949,0.2851287560223348,rapamycin
TSC2ko_minus_WT,IS_inflammatory,,plastic,,,2,2,8.681968842142258,8.670569337262116,0.011399504880142075,vehicle
hydrogel_minus_plastic,IS_inflammatory,TSC2ko,,,,2,2,9.814016181100882,8.935073327281284,0.8789428538195985,rapamycin
hydrogel_minus_plastic,IS_inflammatory,TSC2ko,,,,2,2,8.93230817767846,8.681968842142258,0.2503393355362018,vehicle
hydrogel_minus_plastic,IS_inflammatory,WT,,,,2,2,9.163753240761299,8.649944571258949,0.5138086695023496,rapamycin
hydrogel_minus_plastic,IS_inflammatory,WT,,,,2,2,9.055430315020642,8.670569337262116,0.38486097775852635,vehicle
TSC2ko_minus_WT,LAF_niche,,hydrogel,,,2,2,12.392862370752333,12.53176493680959,-0.13890256605725781,rapamycin
TSC2ko_minus_WT,LAF_niche,,hydrogel,,,2,2,11.880773740930334,12.294414388029228,-0.4136406470988945,vehicle
TSC2ko_minus_WT,LAF_niche,,plastic,,,2,2,12.04455462282317,12.23664821193757,-0.19209358911439978,rapamycin
TSC2ko_minus_WT,LAF_niche,,plastic,,,2,2,11.667126741643063,12.228391700500818,-0.5612649588577554,vehicle
hydrogel_minus_plastic,LAF_niche,TSC2ko,,,,2,2,12.392862370752333,12.04455462282317,0.3483077479291623,rapamycin
hydrogel_minus_plastic,LAF_niche,TSC2ko,,,,2,2,11.880773740930334,11.667126741643063,0.2136469992872705,vehicle
hydrogel_minus_plastic,LAF_niche,WT,,,,2,2,12.53176493680959,12.23664821193757,0.29511672487202034,rapamycin
hydrogel_minus_plastic,LAF_niche,WT,,,,2,2,12.294414388029228,12.228391700500818,0.06602268752840956,vehicle
TSC2ko_minus_WT,LAM_myogenic_contractile,,hydrogel,,,2,2,10.64990353184067,10.253744498883279,0.3961590329573905,rapamycin
TSC2ko_minus_WT,LAM_myogenic_contractile,,hydrogel,,,2,2,10.627272740213435,10.521859848881984,0.10541289133145071,vehicle
TSC2ko_minus_WT,LAM_myogenic_contractile,,plastic,,,2,2,11.823739712588786,11.530768787402005,0.2929709251867809,rapamycin
TSC2ko_minus_WT,LAM_myogenic_contractile,,plastic,,,2,2,11.404342862158657,11.530340330125938,-0.12599746796728084,vehicle
hydrogel_minus_plastic,LAM_myogenic_contractile,TSC2ko,,,,2,2,10.64990353184067,11.823739712588786,-1.1738361807481166,rapamycin
hydrogel_minus_plastic,LAM_myogenic_contractile,TSC2ko,,,,2,2,10.627272740213435,11.404342862158657,-0.7770701219452221,vehicle
hydrogel_minus_plastic,LAM_myogenic_contractile,WT,,,,2,2,10.253744498883279,11.530768787402005,-1.2770242885187262,rapamycin
hydrogel_minus_plastic,LAM_myogenic_contractile,WT,,,,2,2,10.521859848881984,11.530340330125938,-1.0084804812439536,vehicle
TSC2ko_minus_WT,MDK_dormancy_persistence,,hydrogel,,,2,2,11.261745069922465,10.961008881667873,0.3007361882545929,rapamycin
TSC2ko_minus_WT,MDK_dormancy_persistence,,hydrogel,,,2,2,11.378764643256886,11.050844816738884,0.3279198265180021,vehicle
TSC2ko_minus_WT,MDK_dormancy_persistence,,plastic,,,2,2,10.994851565908174,10.954696110827845,0.04015545508032936,rapamycin
TSC2ko_minus_WT,MDK_dormancy_persistence,,plastic,,,2,2,11.194538352543724,11.024188964276572,0.17034938826715162,vehicle
hydrogel_minus_plastic,MDK_dormancy_persistence,TSC2ko,,,,2,2,11.261745069922465,10.994851565908174,0.26689350401429124,rapamycin
hydrogel_minus_plastic,MDK_dormancy_persistence,TSC2ko,,,,2,2,11.378764643256886,11.194538352543724,0.18422629071316265,vehicle
hydrogel_minus_plastic,MDK_dormancy_persistence,WT,,,,2,2,10.961008881667873,10.954696110827845,0.006312770840027682,rapamycin
hydrogel_minus_plastic,MDK_dormancy_persistence,WT,,,,2,2,11.050844816738884,11.024188964276572,0.02665585246231217,vehicle
TSC2ko_minus_WT,SLS_stem_like,,hydrogel,,,2,2,7.156280498803559,7.012785678855895,0.143494819947664,rapamycin
TSC2ko_minus_WT,SLS_stem_like,,hydrogel,,,2,2,6.9329597904445945,7.119830929340056,-0.18687113889546136,vehicle
TSC2ko_minus_WT,SLS_stem_like,,plastic,,,2,2,7.04565475557194,7.031804526411766,0.013850229160174088,rapamycin
TSC2ko_minus_WT,SLS_stem_like,,plastic,,,2,2,6.950261312111268,7.146319702361943,-0.19605839025067517,vehicle
hydrogel_minus_plastic,SLS_stem_like,TSC2ko,,,,2,2,7.156280498803559,7.04565475557194,0.11062574323161911,rapamycin
hydrogel_minus_plastic,SLS_stem_like,TSC2ko,,,,2,2,6.9329597904445945,6.950261312111268,-0.017301521666673203,vehicle
hydrogel_minus_plastic,SLS_stem_like,WT,,,,2,2,7.012785678855895,7.031804526411766,-0.0190188475558708,rapamycin
hydrogel_minus_plastic,SLS_stem_like,WT,,,,2,2,7.119830929340056,7.146319702361943,-0.026488773021887013,vehicle
TSC2ko_minus_WT,TGFbeta_fibroblast,,hydrogel,,,2,2,13.466842100065644,13.402331085797663,0.06451101426798189,rapamycin
TSC2ko_minus_WT,TGFbeta_fibroblast,,hydrogel,,,2,2,13.512579560442338,13.329591788612312,0.18298777183002635,vehicle
TSC2ko_minus_WT,TGFbeta_fibroblast,,plastic,,,2,2,13.774196875099356,13.821253289167192,-0.04705641406783556,rapamycin
TSC2ko_minus_WT,TGFbeta_fibroblast,,plastic,,,2,2,13.766680057058975,13.744278180919034,0.02240187613994138,vehicle
hydrogel_minus_plastic,TGFbeta_fibroblast,TSC2ko,,,,2,2,13.466842100065644,13.774196875099356,-0.307354775033712,rapamycin
hydrogel_minus_plastic,TGFbeta_fibroblast,TSC2ko,,,,2,2,13.512579560442338,13.766680057058975,-0.2541004966166369,vehicle
hydrogel_minus_plastic,TGFbeta_fibroblast,WT,,,,2,2,13.402331085797663,13.821253289167192,-0.41892220336952946,rapamycin
hydrogel_minus_plastic,TGFbeta_fibroblast,WT,,,,2,2,13.329591788612312,13.744278180919034,-0.4146863923067219,vehicle
TSC2ko_minus_WT,biomarker_VEGFD_PMEL_CCL14_MMP8,,hydrogel,,,2,2,2.597045281114661,3.180850162202216,-0.5838048810875551,rapamycin
TSC2ko_minus_WT,biomarker_VEGFD_PMEL_CCL14_MMP8,,hydrogel,,,2,2,3.0375780156036134,3.270581981491036,-0.23300396588742256,vehicle
TSC2ko_minus_WT,biomarker_VEGFD_PMEL_CCL14_MMP8,,plastic,,,2,2,2.39521225869549,2.3836801739373312,0.01153208475815859,rapamycin
TSC2ko_minus_WT,biomarker_VEGFD_PMEL_CCL14_MMP8,,plastic,,,2,2,2.335607796027156,2.289957875595386,0.045649920431769964,vehicle
hydrogel_minus_plastic,biomarker_VEGFD_PMEL_CCL14_MMP8,TSC2ko,,,,2,2,2.597045281114661,2.39521225869549,0.20183302241917112,rapamycin
hydrogel_minus_plastic,biomarker_VEGFD_PMEL_CCL14_MMP8,TSC2ko,,,,2,2,3.0375780156036134,2.335607796027156,0.7019702195764572,vehicle
hydrogel_minus_plastic,biomarker_VEGFD_PMEL_CCL14_MMP8,WT,,,,2,2,3.180850162202216,2.3836801739373312,0.7971699882648848,rapamycin
hydrogel_minus_plastic,biomarker_VEGFD_PMEL_CCL14_MMP8,WT,,,,2,2,3.270581981491036,2.289957875595386,0.9806241058956497,vehicle
TSC2ko_minus_WT,cell_cycle,,hydrogel,,,2,2,11.713477940654371,10.904095191308308,0.8093827493460637,rapamycin
TSC2ko_minus_WT,cell_cycle,,hydrogel,,,2,2,11.173756201423092,11.610061187083083,-0.43630498565999076,vehicle
TSC2ko_minus_WT,cell_cycle,,plastic,,,2,2,12.177579341995624,12.02563169114425,0.1519476508513744,rapamycin
TSC2ko_minus_WT,cell_cycle,,plastic,,,2,2,11.821239213890662,12.001932695238944,-0.1806934813482819,vehicle
hydrogel_minus_plastic,cell_cycle,TSC2ko,,,,2,2,11.713477940654371,12.177579341995624,-0.464101401341253,rapamycin
hydrogel_minus_plastic,cell_cycle,TSC2ko,,,,2,2,11.173756201423092,11.821239213890662,-0.6474830124675695,vehicle
hydrogel_minus_plastic,cell_cycle,WT,,,,2,2,10.904095191308308,12.02563169114425,-1.1215364998359423,rapamycin
hydrogel_minus_plastic,cell_cycle,WT,,,,2,2,11.610061187083083,12.001932695238944,-0.3918715081558606,vehicle
TSC2ko_minus_WT,hormone_related,,hydrogel,,,2,2,4.587766681823473,4.562866381599739,0.024900300223733574,rapamycin
TSC2ko_minus_WT,hormone_related,,hydrogel,,,2,2,4.960054387728871,4.676037851589685,0.28401653613918576,vehicle
TSC2ko_minus_WT,hormone_related,,plastic,,,2,2,4.653483182950023,4.558087263930396,0.09539591901962652,rapamycin
TSC2ko_minus_WT,hormone_related,,plastic,,,2,2,4.699946907213897,4.702514066193601,-0.002567158979704054,vehicle
hydrogel_minus_plastic,hormone_related,TSC2ko,,,,2,2,4.587766681823473,4.653483182950023,-0.06571650112655014,rapamycin
hydrogel_minus_plastic,hormone_related,TSC2ko,,,,2,2,4.960054387728871,4.699946907213897,0.2601074805149741,vehicle
hydrogel_minus_plastic,hormone_related,WT,,,,2,2,4.562866381599739,4.558087263930396,0.004779117669342803,rapamycin
hydrogel_minus_plastic,hormone_related,WT,,,,2,2,4.676037851589685,4.702514066193601,-0.026476214603915693,vehicle
TSC2ko_minus_WT,hypoxia_stress,,hydrogel,,,2,2,10.952516748952238,10.370880094707172,0.5816366542450666,rapamycin
TSC2ko_minus_WT,hypoxia_stress,,hydrogel,,,2,2,12.11180685222945,10.55978704533915,1.5520198068903,vehicle
TSC2ko_minus_WT,hypoxia_stress,,plastic,,,2,2,10.925446467603502,10.56493075994447,0.3605157076590313,rapamycin
TSC2ko_minus_WT,hypoxia_stress,,plastic,,,2,2,12.200913096873952,10.949049198573732,1.2518638983002202,vehicle
hydrogel_minus_plastic,hypoxia_stress,TSC2ko,,,,2,2,10.952516748952238,10.925446467603502,0.027070281348736458,rapamycin
hydrogel_minus_plastic,hypoxia_stress,TSC2ko,,,,2,2,12.11180685222945,12.200913096873952,-0.08910624464450301,vehicle
hydrogel_minus_plastic,hypoxia_stress,WT,,,,2,2,10.370880094707172,10.56493075994447,-0.19405066523729886,rapamycin
