distance_bin,n_cells,AT2_median,AT2_q25,AT2_q75,AT2_mean,endothelial_median,endothelial_q25,endothelial_q75,endothelial_mean,lymphatic_endothelial_median,lymphatic_endothelial_q25,lymphatic_endothelial_q75,lymphatic_endothelial_mean,fibroblast_median,fibroblast_q25,fibroblast_q75,fibroblast_mean,pericyte_VSMC_median,pericyte_VSMC_q25,pericyte_VSMC_q75,pericyte_VSMC_mean,macrophage_median,macrophage_q25,macrophage_q75,macrophage_mean,T_NK_median,T_NK_q25,T_NK_q75,T_NK_mean,mesothelial_median,mesothelial_q25,mesothelial_q75,mesothelial_mean,ciliated_median,ciliated_q25,ciliated_q75,ciliated_mean
0-10%,2206,0.4818427413702011,0.0,1.2976887822151184,1.093303735380619,0.0,0.0,0.11581788770854473,0.07475920154266431,0.0,0.0,0.0,0.04005086891934046,0.24361005425453186,0.03754029609262943,0.6771609634160995,0.5648269187587255,0.45308390259742737,0.08050114661455154,1.5267726182937622,0.8310630303923233,0.21503083407878876,0.0,0.6768556833267212,0.6916022129345885,0.0,0.0,0.06859465315937996,0.1205628077338719,0.0,0.0,0.0,0.029767288302062104,0.0,0.0,0.034090242348611355,0.03186386573852014
10-20%,2206,0.5420387387275696,0.0,1.4107140004634857,1.1572541480331748,0.03974322788417339,0.0,0.13846000283956528,0.09067241323551169,0.0,0.0,0.0,0.03638896413809423,0.15440230816602707,0.0,0.36051589995622635,0.4051519921961378,0.1045609824359417,0.0,0.5142751485109329,0.4881397608831417,0.27890637516975403,0.0497700572013855,2.354225277900696,0.9714270502663237,0.0,0.0,0.09721860103309155,0.15013816249738376,0.0,0.0,0.0,0.028051566438122923,0.0,0.0,0.04635027423501015,0.035855398103020616
20-40%,4412,0.6222184300422668,0.0,1.5340203046798706,1.1541886328494113,0.06726546213030815,0.0,0.16182393953204155,0.11645384631094338,0.0,0.0,0.0,0.047662850682550224,0.1340622529387474,0.0,0.25544241815805435,0.3058799312543715,0.06955520436167717,0.0,0.18916625156998634,0.28270641447898553,0.401578351855278,0.06431105546653271,2.5088033080101013,1.1293405498000553,0.0,0.0,0.10197559930384159,0.12319392825175814,0.0,0.0,0.0,0.0319871673308117,0.0,0.0,0.055240167304873466,0.05231867534410739
40-60%,4412,0.5848406255245209,0.0,1.4088522493839264,1.0213466763727752,0.07016550749540329,0.0,0.16256753727793694,0.1378476522146899,0.0,0.0,0.0,0.060893459977195384,0.09758726134896278,0.0,0.2167283408343792,0.2102036292408023,0.05780917964875698,0.0,0.13164915144443512,0.17145993052124775,0.4050213396549225,0.062218666076660156,2.5196297764778137,1.1617047197687003,0.0,0.0,0.09151411056518555,0.09567884848073567,0.0,0.0,0.0,0.039707799493618044,0.0,0.0,0.06364512629806995,0.08917246218403449
60-80%,4412,0.5508208274841309,0.16196772456169128,1.1304767429828644,0.8538715082557631,0.06066286563873291,0.0,0.16030333563685417,0.15690569587749306,0.0,0.0,0.0,0.06719267283817913,0.07333794236183167,0.0,0.19732755050063133,0.17126097897082865,0.05379916541278362,0.0,0.1225623581558466,0.12531517031611006,0.23360343277454376,0.04944836441427469,2.357930541038513,1.0186068254361709,0.0,0.0,0.08691905252635479,0.07034865991298551,0.0,0.0,0.0,0.061456506026331216,0.0,0.0,0.09308214299380779,0.18412822666843967
80-100%,4413,0.5232605338096619,0.20813745260238647,0.886118471622467,0.7158851496851649,0.051267243921756744,0.0,0.1644332855939865,0.17866811569363938,0.0,0.0,0.0,0.053506354061342604,0.029498634859919548,0.0,0.13688652217388153,0.1134330118691252,0.05359858646988869,0.0,0.12236598134040833,0.11020029354659022,0.12744265794754028,0.030524106696248055,0.759459912776947,0.6352590721534468,0.0,0.0,0.07012129575014114,0.04949353715738734,0.0,0.0,0.0974658727645874,0.09370845336534138,0.03763928636908531,0.0,0.1705201119184494,0.3507732268675669
