source_state,target_state,source_cells,k,directed_edges,source_to_target_fraction
State_20,State_1,756,30,10,0.0004409171075837742
State_20,State_7,756,30,8,0.0003527336860670194
State_20,State_9,756,30,7,0.00030864197530864197
State_20,State_13,756,30,3,0.00013227513227513228
State_3,boundary,4,30,95,0.7916666666666666
State_3,State_12,4,30,11,0.09166666666666666
State_3,State_4,4,30,7,0.058333333333333334
State_3,State_7,4,30,3,0.025
State_3,State_5,4,30,3,0.025
State_3,State_9,4,30,1,0.008333333333333333
State_4,boundary,550,30,10035,0.6081818181818182
State_4,State_4,550,30,6287,0.38103030303030305
State_4,State_5,550,30,61,0.003696969696969697
State_4,State_12,550,30,57,0.0034545454545454545
State_4,State_9,550,30,28,0.001696969696969697
State_4,State_16,550,30,16,0.0009696969696969697
State_4,State_7,550,30,8,0.00048484848484848484
State_4,State_20,550,30,4,0.00024242424242424242
State_4,State_3,550,30,3,0.0001818181818181818
State_4,State_1,550,30,1,6.0606060606060605e-05
State_5,boundary,864,30,21494,0.8292438271604938
State_5,State_5,864,30,4313,0.1663966049382716
State_5,State_4,864,30,60,0.0023148148148148147
State_5,State_12,864,30,14,0.0005401234567901234
State_5,State_16,864,30,13,0.0005015432098765432
State_5,State_7,864,30,7,0.0002700617283950617
State_5,State_20,864,30,6,0.0002314814814814815
State_5,State_15,864,30,5,0.00019290123456790122
State_5,State_18,864,30,3,0.00011574074074074075
State_5,State_3,864,30,3,0.00011574074074074075
State_5,State_6,864,30,2,7.716049382716049e-05
State_6,boundary,3,30,84,0.9333333333333333
State_6,State_5,3,30,5,0.05555555555555555
State_6,State_16,3,30,1,0.011111111111111112
State_7,boundary,576,30,14052,0.8131944444444444
State_7,State_7,576,30,2964,0.17152777777777778
State_7,State_12,576,30,137,0.007928240740740741
State_7,State_9,576,30,60,0.003472222222222222
State_7,State_15,576,30,22,0.0012731481481481483
State_7,State_1,576,30,16,0.000925925925925926
State_7,State_4,576,30,8,0.000462962962962963
State_7,State_20,576,30,6,0.00034722222222222224
State_7,State_16,576,30,6,0.00034722222222222224
State_7,State_5,576,30,4,0.0002314814814814815
State_7,State_14,576,30,1,5.787037037037037e-05
State_7,State_3,576,30,1,5.787037037037037e-05
State_7,State_8,576,30,1,5.787037037037037e-05
State_7,State_13,576,30,1,5.787037037037037e-05
State_7,State_18,576,30,1,5.787037037037037e-05
State_8,boundary,1,30,27,0.9
State_8,State_7,1,30,2,0.06666666666666667
State_8,State_16,1,30,1,0.03333333333333333
State_9,boundary,406,30,7063,0.5798850574712644
State_9,State_9,406,30,4572,0.3753694581280788
State_9,State_12,406,30,264,0.02167487684729064
State_9,State_7,406,30,116,0.009523809523809525
State_9,State_4,406,30,47,0.0038587848932676518
State_9,State_20,406,30,46,0.0037766830870279147
State_9,State_16,406,30,37,0.003037766830870279
State_9,State_1,406,30,19,0.0015599343185550081
State_9,State_15,406,30,12,0.0009852216748768472
State_9,State_5,406,30,2,0.00016420361247947455
State_9,State_18,406,30,2,0.00016420361247947455
boundary,boundary,16883,30,423389,0.8359276589863571
boundary,State_5,16883,30,19672,0.038839858634918754
boundary,State_7,16883,30,12308,0.024300578491184426
boundary,State_20,16883,30,10572,0.020873067582775573
boundary,State_4,16883,30,8828,0.01742976169322198
boundary,State_1,16883,30,8725,0.017226401310983436
boundary,State_12,16883,30,7783,0.015366542281190151
boundary,State_9,16883,30,5852,0.01155402870737823
boundary,State_18,16883,30,3827,0.0075559241051156
boundary,State_16,16883,30,3094,0.006108708957728682
boundary,State_17,16883,30,2173,0.004290311753440345
boundary,State_15,16883,30,89,0.0001757191652352465
boundary,State_3,16883,30,57,0.00011253924065628147
boundary,State_6,16883,30,38,7.502616043752097e-05
boundary,State_10,16883,30,22,4.343619814803846e-05
boundary,State_11,16883,30,20,3.9487452861853144e-05
boundary,State_13,16883,30,17,3.356433493257518e-05
boundary,State_8,16883,30,10,1.9743726430926572e-05
boundary,State_2,16883,30,10,1.9743726430926572e-05
boundary,State_19,16883,30,4,7.89749057237063e-06
