distance_bin,n_cells,LAMCORE_full_median,LAMCORE_full_q25,LAMCORE_full_q75,LAMCORE_full_mean,LAMCORE_no_gate_median,LAMCORE_no_gate_q25,LAMCORE_no_gate_q75,LAMCORE_no_gate_mean,LAMCORE_outside_scVI_median,LAMCORE_outside_scVI_q25,LAMCORE_outside_scVI_q75,LAMCORE_outside_scVI_mean,LAMCORE_independent_median,LAMCORE_independent_q25,LAMCORE_independent_q75,LAMCORE_independent_mean,CORE1_median,CORE1_q25,CORE1_q75,CORE1_mean,CORE2_median,CORE2_q25,CORE2_q75,CORE2_mean,CORE3_median,CORE3_q25,CORE3_q75,CORE3_mean,AT2_median,AT2_q25,AT2_q75,AT2_mean,endothelial_median,endothelial_q25,endothelial_q75,endothelial_mean,lymphatic_endothelial_median,lymphatic_endothelial_q25,lymphatic_endothelial_q75,lymphatic_endothelial_mean,fibroblast_median,fibroblast_q25,fibroblast_q75,fibroblast_mean,pericyte_VSMC_median,pericyte_VSMC_q25,pericyte_VSMC_q75,pericyte_VSMC_mean,macrophage_median,macrophage_q25,macrophage_q75,macrophage_mean,T_NK_median,T_NK_q25,T_NK_q75,T_NK_mean,mesothelial_median,mesothelial_q25,mesothelial_q75,mesothelial_mean,ciliated_median,ciliated_q25,ciliated_q75,ciliated_mean
0-10%,1488,0.11805730685591698,0.05886358581483364,0.2761124223470688,0.16532233780467762,0.1165088452398777,0.0572818499058485,0.27400045841932297,0.16420710061786956,0.08691355586051941,0.052085334435105324,0.15554900467395782,0.1067796251924348,0.08597322553396225,0.05109329242259264,0.15647122263908386,0.1067198717970431,0.2050693854689598,0.0,1.6686727702617645,0.7834832984803906,0.09591057151556015,0.0,0.2656945511698723,0.14572678861128147,0.2249806448817253,0.1167423389852047,0.43582798540592194,0.28035107220245165,0.45399099588394165,0.0,1.4511978924274445,1.2313672877918247,0.0,0.0,0.11489610001444817,0.07392379596343725,0.0,0.0,0.0,0.034636478192643615,0.19305230677127838,0.0,0.4632742777466774,0.4434633478102955,0.20168118178844452,0.05599140748381615,1.6274488866329193,0.7650403296274524,0.21018662303686142,0.0,1.122355431318283,0.7964682398171175,0.0,0.0,0.08438846841454506,0.14590135791372777,0.0,0.0,0.0,0.027844975181725077,0.0,0.0,0.028153091203421354,0.02610249676734149
10-20%,1693,0.07966750860214233,0.044078197330236435,0.20702610909938812,0.1323897133735919,0.07839147001504898,0.043236829340457916,0.20572060346603394,0.13137986486319977,0.06815330684185028,0.045143112540245056,0.15408647060394287,0.09908194704354249,0.0678788423538208,0.04441266879439354,0.15340246260166168,0.09863762739535291,0.09501677006483078,0.0,0.3485209047794342,0.49075226532377864,0.15655910968780518,0.0,0.281398206949234,0.17450752353424406,0.17954115569591522,0.1104864701628685,0.3164055645465851,0.2365483622062826,0.5652080178260803,0.0,1.3878659009933472,1.2084142012808778,0.0,0.0,0.1293238401412964,0.0833089063609678,0.0,0.0,0.0,0.02887388130642223,0.13588103652000427,0.0,0.27579572796821594,0.31213567002384324,0.08824814110994339,0.0,0.3673945665359497,0.4757477707965041,0.34886935353279114,0.05269905924797058,2.456350803375244,1.0606547476337618,0.0,0.0,0.10950537770986557,0.17580664045096536,0.0,0.0,0.0,0.023964764005727338,0.0,0.0,0.039967119693756104,0.03017886438309636
20-40%,3459,0.06943462789058685,0.04195939749479294,0.16980865597724915,0.11622151273931962,0.06848081201314926,0.04092092253267765,0.1692112758755684,0.11542769881706048,0.0637272372841835,0.0438089482486248,0.1519736349582672,0.09789756356503455,0.06264061480760574,0.042854005470871925,0.15148703753948212,0.0972850491695567,0.05944688618183136,0.0,0.19411152601242065,0.2808365793761386,0.16639775037765503,0.05187271721661091,0.2792045474052429,0.18000419078818564,0.15605494379997253,0.10787469893693924,0.2400844246149063,0.1980977540854047,0.631581723690033,0.0,1.6135979890823364,1.2174938123885366,0.05921214818954468,0.0,0.1565028876066208,0.11251991258217407,0.0,0.0,0.0,0.0450875022418713,0.1206451877951622,0.0,0.2332642748951912,0.23640246972620452,0.05988642945885658,0.0,0.15400009602308273,0.27357523999602057,0.4804009795188904,0.062212977558374405,2.5681759119033813,1.196312336407841,0.027800271287560463,0.0,0.10989410802721977,0.13949462838283003,0.0,0.0,0.0,0.028683037668074545,0.0,0.0,0.045559993013739586,0.04078631636792437
40-60%,3475,0.0702921599149704,0.04083271883428097,0.17029807716608047,0.11101971577973567,0.06909921020269394,0.040005169808864594,0.1703169345855713,0.11038378038463725,0.06591027230024338,0.043174926191568375,0.16510840505361557,0.10148987969035189,0.06489962339401245,0.042069144546985626,0.1646396890282631,0.10076627500288242,0.05258404463529587,0.0,0.15617630630731583,0.17125087671571498,0.16539691388607025,0.06900442391633987,0.2655268758535385,0.1764048007795279,0.15167883038520813,0.10822859406471252,0.2147960215806961,0.1766118987483515,0.5600755214691162,0.0,1.377634882926941,1.033254176667697,0.06180781126022339,0.0,0.15412504971027374,0.13499989397716608,0.0,0.0,0.0,0.05748843199164747,0.09117423743009567,0.0,0.20687302947044373,0.1725779126016356,0.04839691147208214,0.0,0.12004958093166351,0.1615621323690569,0.5148230195045471,0.06199892796576023,2.581755042076111,1.2302714612672654,0.0,0.0,0.09576526656746864,0.10592338946895848,0.0,0.0,0.0,0.03435499169254046,0.0,0.0,0.0535079687833786,0.06828454991869574
60-80%,3415,0.09402650594711304,0.0418237280100584,0.1798323541879654,0.11765821498203723,0.09293001145124435,0.04102009907364845,0.17945022135972977,0.11719843653272047,0.0828978419303894,0.044620487838983536,0.17267245799303055,0.11011275189409188,0.08263131231069565,0.043865879997611046,0.17130453884601593,0.10935617337742408,0.05463787913322449,0.0,0.1534414142370224,0.13667243558308043,0.1482621729373932,0.0546136237680912,0.2472471073269844,0.15973186067811393,0.14560970664024353,0.10344428941607475,0.20591355115175247,0.16508107646688885,0.518784761428833,0.13483130931854248,1.0599260330200195,0.8448118258513084,0.055503666400909424,0.0,0.15362877398729324,0.15951285836877271,0.0,0.0,0.0,0.06846336933128307,0.07284503430128098,0.0,0.18886488676071167,0.13602255721921497,0.046025075018405914,0.0,0.10709922015666962,0.11568227926730063,0.28148114681243896,0.05413383059203625,2.512930989265442,1.1053075937895134,0.0,0.0,0.09252981469035149,0.07808225785748894,0.0,0.0,0.0,0.053825841051571365,0.0,0.0,0.07423445209860802,0.13537049684073574
80-100%,3353,0.14024309813976288,0.05979498475790024,0.2030535191297531,0.13876423077163966,0.1393446922302246,0.05943206325173378,0.20288389921188354,0.13858975815444255,0.125748872756958,0.057172197848558426,0.18688590824604034,0.12858737276852034,0.12498719245195389,0.05692538991570473,0.18583734333515167,0.1279589558325629,0.06167512387037277,0.0,0.18202050030231476,0.1418993119183731,0.10751859843730927,0.0,0.19488534331321716,0.12604582044686216,0.1377086043357849,0.09136642515659332,0.20139583945274353,0.1567598288296062,0.5074089169502258,0.17513200640678406,0.8779132962226868,0.7004178287647498,0.04843328148126602,0.0,0.16687476634979248,0.1931859078671802,0.0,0.0,0.0,0.05229336730558109,0.02327009290456772,0.0,0.14007380604743958,0.10224078128365992,0.051141154021024704,0.0,0.12183019518852234,0.10669635277538114,0.13481509685516357,0.0,0.9766958951950073,0.6857997052051524,0.0,0.0,0.07728973031044006,0.05364370098295312,0.0,0.0,0.07543820142745972,0.08512975791701978,0.022960351780056953,0.0,0.13386812806129456,0.2913487830623993
