distance_bin,n_cells,LAMCORE_full_median,LAMCORE_full_q25,LAMCORE_full_q75,LAMCORE_full_mean,LAMCORE_no_gate_median,LAMCORE_no_gate_q25,LAMCORE_no_gate_q75,LAMCORE_no_gate_mean,LAMCORE_outside_scVI_median,LAMCORE_outside_scVI_q25,LAMCORE_outside_scVI_q75,LAMCORE_outside_scVI_mean,LAMCORE_independent_median,LAMCORE_independent_q25,LAMCORE_independent_q75,LAMCORE_independent_mean
0-10%,2206,0.18838685005903244,0.0750382412225008,0.3099731206893921,0.20470554832789578,0.18502649664878845,0.0737971980124712,0.30824263393878937,0.20241403320326334,0.1078680269420147,0.05881611816585064,0.18285557627677917,0.13633116621292743,0.10833345726132393,0.05879713222384453,0.18356603011488914,0.13583141522682993
10-20%,2206,0.10325658321380615,0.047507815062999725,0.25586798787117004,0.15504274398834864,0.1017148569226265,0.04660018905997276,0.2547290697693825,0.15369316735743957,0.0834575705230236,0.048455807380378246,0.17645619437098503,0.11531997952611943,0.08268706873059273,0.04767008405178785,0.17599133029580116,0.11464817971134675
20-40%,4412,0.08577999845147133,0.04460096079856157,0.20590046793222427,0.13623298448457696,0.08499076217412949,0.043605378828942776,0.2054523341357708,0.1352524028735633,0.07725715637207031,0.046332971192896366,0.17890090495347977,0.114124649553032,0.07685988768935204,0.04530779737979174,0.1775554120540619,0.11327918080546735
40-60%,4412,0.0901990570127964,0.04305918700993061,0.19052692875266075,0.12770892105435536,0.08905552327632904,0.04201458115130663,0.1898086778819561,0.1268921105721155,0.08328936249017715,0.04523847158998251,0.18392547219991684,0.11620176397506755,0.08320362493395805,0.04431901127099991,0.18280109763145447,0.1152486093852083
60-80%,4412,0.12810105085372925,0.04549598507583141,0.2044520564377308,0.13549189350136293,0.12711640447378159,0.0442449739202857,0.20416947454214096,0.1348457132765461,0.1172005757689476,0.04769596457481384,0.19273510575294495,0.12655933730913022,0.1162700355052948,0.04665581043809652,0.19100317731499672,0.1255169852623245
80-100%,4413,0.15569128096103668,0.07028021663427353,0.21773535013198853,0.15208739360615883,0.15478454530239105,0.06984857469797134,0.21808476746082306,0.15168172210793027,0.14502528309822083,0.06590051203966141,0.2081611305475235,0.14325200488764278,0.14425073564052582,0.06534295529127121,0.2064739316701889,0.1422728372086388
