scope,patient,distance_segment,n_cells,LAMCORE_full_median,LAMCORE_full_q25,LAMCORE_full_q75,LAMCORE_no_gate_median,LAMCORE_no_gate_q25,LAMCORE_no_gate_q75,LAMCORE_outside_scVI_median,LAMCORE_outside_scVI_q25,LAMCORE_outside_scVI_q75,LAMCORE_independent_median,LAMCORE_independent_q25,LAMCORE_independent_q75,CORE1_median,CORE1_q25,CORE1_q75,CORE2_median,CORE2_q25,CORE2_q75,CORE3_median,CORE3_q25,CORE3_q75,melanocytic_median,melanocytic_q25,melanocytic_q75,lam_support_median,lam_support_q25,lam_support_q75,HOX_PBX_median,HOX_PBX_q25,HOX_PBX_q75,myogenic_median,myogenic_q25,myogenic_q75,T_NK_median,T_NK_q25,T_NK_q75,macrophage_median,macrophage_q25,macrophage_q75,AT2_median,AT2_q25,AT2_q75,endothelial_median,endothelial_q25,endothelial_q75,lymphatic_endothelial_median,lymphatic_endothelial_q25,lymphatic_endothelial_q75,fibroblast_median,fibroblast_q25,fibroblast_q75,pericyte_VSMC_median,pericyte_VSMC_q25,pericyte_VSMC_q75,mesothelial_median,mesothelial_q25,mesothelial_q75,ciliated_median,ciliated_q25,ciliated_q75
pooled,,near,132,0.28959129750728607,0.18533971533179283,0.5498046875,0.27926938235759735,0.17182032391428947,0.5444939434528351,0.1809096336364746,0.1031985729932785,0.49885550886392593,0.18198221921920776,0.10381041839718819,0.492054246366024,1.49643874168396,1.1246188580989838,1.863895446062088,0.6635794937610626,0.4067208617925644,0.9196730107069016,1.3627881407737732,1.0585162937641144,1.642682522535324,0.8131761848926544,0.382155679166317,1.1083256006240845,1.2682360410690308,0.9015154242515564,1.5526686906814575,0.24504753947257996,0.0,0.6835147142410278,1.8618295788764954,1.3472188115119934,2.4349284768104553,0.0,0.0,0.0,0.26336318254470825,0.13081739284098148,0.38497862219810486,0.7193921804428101,0.4684715196490288,1.0327845513820648,0.0,0.0,0.0,0.0,0.0,0.0,0.40161240100860596,0.17251233384013176,0.5869088619947433,1.3663700222969055,1.0496567785739899,1.673546463251114,0.0,0.0,0.0,0.0,0.0,0.040147810243070126
pooled,,mid,132,0.19841592758893967,0.13829147815704346,0.4021345525979996,0.19268979132175446,0.1302105188369751,0.4029560759663582,0.11214172095060349,0.07080212607979774,0.3477824404835701,0.11280659586191177,0.070995032787323,0.34406787157058716,1.4216451048851013,0.9634347409009933,1.9040460884571075,0.421601340174675,0.30551908165216446,0.6854601353406906,1.0236917734146118,0.7997543215751648,1.3510313630104065,0.43142589926719666,0.0,0.8247825801372528,0.9718421399593353,0.6252875924110413,1.3602598905563354,0.0,0.0,0.5902437418699265,1.6459383964538574,1.1122783720493317,2.2588632106781006,0.0,0.0,0.00958764273673296,0.2496192902326584,0.07477984018623829,0.42357637733221054,0.8350925147533417,0.5421245247125626,1.2508213818073273,0.0,0.0,0.0,0.0,0.0,0.0,0.24829860776662827,0.0,0.4929237365722656,1.3421597480773926,0.8912423551082611,1.7252337336540222,0.0,0.0,0.0,0.0,0.0,0.0
pooled,,far,132,0.17307843267917633,0.10401776246726513,0.3525114059448242,0.16591986268758774,0.09698130562901497,0.3450654000043869,0.11573480814695358,0.0727774128317833,0.27817388623952866,0.11457232013344765,0.07211812399327755,0.2791130840778351,0.8444433212280273,0.20548679307103157,1.7067760527133942,0.3226265609264374,0.18800653517246246,0.5750796645879745,0.7875136733055115,0.4518672823905945,1.1382062435150146,0.40964841842651367,0.0,0.8421415537595749,0.6749106049537659,0.3697398826479912,1.1391215920448303,0.0,0.0,0.41476914286613464,0.9351837933063507,0.3196115791797638,1.7930701076984406,0.0,0.0,0.4216892495751381,0.2502002567052841,0.0829073041677475,0.5056088715791702,0.8121290802955627,0.33184535056352615,1.1666201055049896,0.0,0.0,0.0,0.0,0.0,0.0,0.13132023811340332,0.0,0.4299974590539932,0.6443747878074646,0.18196586892008781,1.505763679742813,0.0,0.0,0.0,0.0,0.0,0.0
patient,LAM1,near,1,0.3018938899040222,0.3018938899040222,0.3018938899040222,0.2929888963699341,0.2929888963699341,0.2929888963699341,0.17397283017635345,0.17397283017635345,0.17397283017635345,0.1720467060804367,0.1720467060804367,0.1720467060804367,2.485886573791504,2.485886573791504,2.485886573791504,0.33737465739250183,0.33737465739250183,0.33737465739250183,1.2203810214996338,1.2203810214996338,1.2203810214996338,0.0,0.0,0.0,1.3985120058059692,1.3985120058059692,1.3985120058059692,0.18706735968589783,0.18706735968589783,0.18706735968589783,3.108894109725952,3.108894109725952,3.108894109725952,0.0,0.0,0.0,0.5441959500312805,0.5441959500312805,0.5441959500312805,0.6083729267120361,0.6083729267120361,0.6083729267120361,0.0,0.0,0.0,0.0,0.0,0.0,0.27209797501564026,0.27209797501564026,0.27209797501564026,2.4404349327087402,2.4404349327087402,2.4404349327087402,0.0,0.0,0.0,0.0,0.0,0.0
patient,LAM1,mid,1,0.08248746395111084,0.08248746395111084,0.08248746395111084,0.07379201054573059,0.07379201054573059,0.07379201054573059,0.024074580520391464,0.024074580520391464,0.024074580520391464,0.024217315018177032,0.024217315018177032,0.024217315018177032,1.1106857061386108,1.1106857061386108,1.1106857061386108,0.362149715423584,0.362149715423584,0.362149715423584,0.9793612957000732,0.9793612957000732,0.9793612957000732,0.9657325744628906,0.9657325744628906,0.9657325744628906,0.0,0.0,0.0,0.0,0.0,0.0,2.2851762771606445,2.2851762771606445,2.2851762771606445,0.0,0.0,0.0,0.26338160037994385,0.26338160037994385,0.26338160037994385,0.724299430847168,0.724299430847168,0.724299430847168,0.0,0.0,0.0,0.0,0.0,0.0,0.26338160037994385,0.26338160037994385,0.26338160037994385,1.2787543535232544,1.2787543535232544,1.2787543535232544,0.0,0.0,0.0,0.0,0.0,0.0
patient,LAM1,far,1,0.5153563618659973,0.5153563618659973,0.5153563618659973,0.5019738078117371,0.5019738078117371,0.5019738078117371,0.33440351486206055,0.33440351486206055,0.33440351486206055,0.33480554819107056,0.33480554819107056,0.33480554819107056,2.1821889877319336,2.1821889877319336,2.1821889877319336,1.5568119287490845,1.5568119287490845,1.5568119287490845,1.8956716060638428,1.8956716060638428,1.8956716060638428,1.2942873239517212,1.2942873239517212,1.2942873239517212,1.7327631711959839,1.7327631711959839,1.7327631711959839,0.2999155521392822,0.2999155521392822,0.2999155521392822,3.107272148132324,3.107272148132324,3.107272148132324,0.0,0.0,0.0,0.5834885239601135,0.5834885239601135,0.5834885239601135,0.874395489692688,0.874395489692688,0.874395489692688,0.0,0.0,0.0,0.1599549651145935,0.1599549651145935,0.1599549651145935,0.4153496325016022,0.4153496325016022,0.4153496325016022,2.130502462387085,2.130502462387085,2.130502462387085,0.11425354331731796,0.11425354331731796,0.11425354331731796,0.0,0.0,0.0
patient,LAM1163,near,39,0.20523446798324585,0.15550674498081207,0.2602684944868088,0.19566553831100464,0.14239773154258728,0.24919761717319489,0.10499769449234009,0.07700864225625992,0.14710456877946854,0.10562021285295486,0.07742734998464584,0.14424924552440643,1.778755784034729,1.358959138393402,2.079093813896179,0.671634316444397,0.42785850167274475,0.9905150532722473,1.2864397764205933,1.014055758714676,1.5686314105987549,0.5825783610343933,0.0,0.9719923138618469,1.1534956693649292,0.9553984999656677,1.4587879180908203,0.0,0.0,0.0,1.732749581336975,1.2459587454795837,2.176328420639038,0.0,0.0,0.15014225989580154,0.3178173303604126,0.25457143783569336,0.3817158490419388,0.5399300456047058,0.0,0.8088568150997162,0.0,0.0,0.0,0.0,0.0,0.0,0.2282356321811676,0.0,0.5517984330654144,1.5952562093734741,1.2569828033447266,1.8970367908477783,0.0,0.0,0.0,0.0,0.0,0.0
patient,LAM1163,mid,39,0.17440265417099,0.12894893437623978,0.21970827132463455,0.1640055924654007,0.11946449428796768,0.2083476185798645,0.09052453935146332,0.07060352712869644,0.11874355375766754,0.09106124937534332,0.07056838274002075,0.11944756656885147,1.6156164407730103,1.3750321865081787,1.908915936946869,0.4320584833621979,0.3227631449699402,0.7489029765129089,0.9840783476829529,0.8154756724834442,1.4314245581626892,0.6774193644523621,0.0,0.8938189744949341,0.860325038433075,0.5480085760354996,1.1673887968063354,0.0,0.0,0.0,1.4713460206985474,1.150081992149353,2.06796795129776,0.0,0.0,0.14109589532017708,0.25640952587127686,0.19746222347021103,0.3291666656732559,0.5326048731803894,0.0,0.7754811346530914,0.0,0.0,0.0,0.0,0.0,0.0,0.2152813971042633,0.0,0.48662135004997253,1.5203042030334473,1.3629695773124695,1.7417811155319214,0.0,0.0,0.0,0.0,0.0,0.0
patient,LAM1163,far,39,0.19315287470817566,0.1402842104434967,0.22840270400047302,0.18414029479026794,0.13288826495409012,0.21700911968946457,0.09748975187540054,0.07355429232120514,0.13516317307949066,0.09735977649688721,0.07291918620467186,0.1359645277261734,1.7831419706344604,1.2716926336288452,2.1185370683670044,0.35471782088279724,0.29053716361522675,0.6106843650341034,0.940104067325592,0.7836816608905792,1.1925310492515564,0.5793377757072449,0.0,0.8852904736995697,0.6884074807167053,0.0,1.0545290112495422,0.0,0.0,0.0,1.4799526929855347,1.2766191959381104,1.8940147757530212,0.0,0.0,0.19716326147317886,0.2537764310836792,0.11843377351760864,0.30790503323078156,0.5267548561096191,0.0,0.8240739405155182,0.0,0.0,0.0,0.0,0.0,0.0,0.11712129414081573,0.0,0.33887259662151337,1.6496896743774414,1.1877875924110413,1.9915071725845337,0.0,0.0,0.0,0.0,0.0,0.0
patient,LAM1164,near,1,0.10268264263868332,0.10268264263868332,0.10268264263868332,0.09275989979505539,0.09275989979505539,0.09275989979505539,0.05634704977273941,0.05634704977273941,0.05634704977273941,0.05668112635612488,0.05668112635612488,0.05668112635612488,1.771303415298462,1.771303415298462,1.771303415298462,0.40786460041999817,0.40786460041999817,0.40786460041999817,1.126142978668213,1.126142978668213,1.126142978668213,0.0,0.0,0.0,1.0876389741897583,1.0876389741897583,1.0876389741897583,0.32591646909713745,0.32591646909713745,0.32591646909713745,1.5400279760360718,1.5400279760360718,1.5400279760360718,0.8386069536209106,0.8386069536209106,0.8386069536209106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5658758878707886,1.5658758878707886,1.5658758878707886,0.0,0.0,0.0,0.0,0.0,0.0
