scope,score_name,n_cells,n_patients,distance_metric,patient_adjusted_slope,ci95_low,ci95_high,pvalue,spearman_rho,spearman_pvalue
all_non_state15,LAMCORE_full,22061,12,Stage20 distance_to_state15; dataset-standardized for regression,-0.0183623934063068,-0.019665194728800142,-0.017059592083813455,3.4805545143351423e-165,-0.024712860805853488,0.0002416596621197169
all_non_state15,LAMCORE_no_gate,22061,12,Stage20 distance_to_state15; dataset-standardized for regression,-0.017865308445791872,-0.019169958963977857,-0.016560657927605887,3.523626037429406e-156,-0.021293983902186054,0.0015617202812410783
all_non_state15,LAMCORE_outside_scVI,22061,12,Stage20 distance_to_state15; dataset-standardized for regression,-0.004611055190858998,-0.005522755994568974,-0.0036993543871490222,4.07193473587781e-23,0.09603900722368684,2.2887598544427553e-46
all_non_state15,LAMCORE_independent,22061,12,Stage20 distance_to_state15; dataset-standardized for regression,-0.0046571312103588225,-0.00556734527365082,-0.003746917147066824,1.280424458497463e-23,0.09444726294728888,6.799133011697321e-45
non_state15_candidates,LAMCORE_full,5178,12,Stage20 distance_to_state15; dataset-standardized for regression,-0.03407222254105047,-0.03691676938079866,-0.031227675701302273,6.10199814422788e-116,-0.17194332594170547,1.1928148432494306e-35
non_state15_candidates,LAMCORE_no_gate,5178,12,Stage20 distance_to_state15; dataset-standardized for regression,-0.03314876898424074,-0.03599884663317275,-0.030298691335308728,9.909276297141223e-110,-0.16398148420678346,1.5499455572874696e-32
non_state15_candidates,LAMCORE_outside_scVI,5178,12,Stage20 distance_to_state15; dataset-standardized for regression,-0.015491419869757217,-0.017481711160205877,-0.013501128579308557,1.8751607063722635e-51,0.07952664279718394,1.0025357978028235e-08
non_state15_candidates,LAMCORE_independent,5178,12,Stage20 distance_to_state15; dataset-standardized for regression,-0.015466286302318777,-0.017450823259679445,-0.013481749344958108,1.410337725227416e-51,0.07566514702821266,5.002037601640378e-08
